date,ECT@KAU.A,KPPRVRSD_R@KAU.A,PMKRSGF@KAU.A,PMKRCON@KAU.A,KRSGF@KAU.A,KRCON@KAU.A,PICTSGF@HON.A,HAI@KAU.A,HAICON@KAU.A
1972-01-01,0.61475,,,,,,,,
1973-01-01,0.7068083333333334,,,,,,,,
1974-01-01,0.8621083333333334,,,,,,,,
1975-01-01,0.8674916666666667,,,,,,,,
1976-01-01,0.8078833333333334,,,,,,,,
1977-01-01,0.6839083333333335,,,,,,,,
1978-01-01,0.7043,,,,,,,,
1979-01-01,0.9308166666666666,,,,,,,,
1980-01-01,1.4052583333333333,,,,40.00000000000001,23.0,,,
1981-01-01,1.1010416666666667,,,,46.0,23.000000000000004,,,
1982-01-01,0.8069416666666667,,,,40.0,26.999999999999993,65.3,,
1983-01-01,1.0282583333333333,,,,62.99999999999999,37.0,71.525,,
1984-01-01,0.6455666666666666,,,,66.0,49.0,74.625,,
1985-01-01,0.7642666666666668,,,,103.00000000000001,111.0,76.65,,
1986-01-01,0.8597333333333333,,,,178.0,182.0,79.3,,
1987-01-01,0.9840916666666668,,,,215.0,254.0,82.07499999999999,,
1988-01-01,0.9894666666666667,,,,204.0,268.0,86.67500000000001,,
1989-01-01,1.6027500000000001,114.69979215035933,,,262.0,281.0,90.45,,
1990-01-01,1.7999999999999998,168.50683491062043,,,282.0,293.00000000000006,95.1,,
1991-01-01,1.7000000000000002,66.53035306070612,,,153.0,164.0,98.42500000000001,,
1992-01-01,1.7000000000000002,73.94641987335606,,,264.0,94.0,102.64999999999999,,
1993-01-01,2.8249999999999997,52.9045077371608,,,193.00000000000003,77.0,111.475,,
1994-01-01,1.883333333333333,96.51252475247526,246874.99999999997,140625.0,202.0,143.0,121.19999999999999,77.86264211417183,136.69219393376838
1995-01-01,1.5833333333333335,38.72573965748114,244687.50000000003,140875.0,154.0,101.0,118.24166666666666,83.73733565049487,145.44439621636533
1996-01-01,1.25,44.308022301871766,220499.99999999997,147687.49999999997,184.00000000000003,134.0,125.55000000000001,93.1084343429736,139.01250798223057
1997-01-01,0.9916666666666667,37.48753593296809,228375.0,125562.50000000001,214.0,145.0,129.29166666666666,92.79988559618528,168.7858546383579
1998-01-01,0.8999999999999999,39.262240805265186,228625.0,124725.0,335.99999999999994,270.0,129.15,99.88623455203604,183.09473140476436
1999-01-01,0.8833333333333333,63.13978043143295,234500.00000000003,126037.50000000001,432.99999999999994,402.0,129.8,94.47126778918393,175.76921389716256
2000-01-01,1.0750000000000002,71.85984864821458,257137.5,151070.0,515.0,419.0,135.2349425,84.69254102124218,144.15587652644243
2001-01-01,1.0708333333333333,94.14425634161138,289874.99999999994,165250.0,454.0,358.99999999999994,142.6037458013895,84.15189556760659,147.61591968326752
2002-01-01,1.2625,115.21690143750737,323750.0,212024.5,537.9999999999999,472.0000000000001,149.85691148242648,79.89209763689014,121.99093317019107
2003-01-01,1.3083333333333331,99.0704076482119,368750.00000000006,290578.00000000006,676.0,535.0,154.6796562543122,76.57607179469042,97.17675279715633
2004-01-01,1.3249999999999997,80.11057789627833,495000.0,380375.0,698.0,521.0,163.09802704103316,58.60564782282268,76.26630475792896
2005-01-01,1.475,164.55461380056295,626875.0,437249.99999999994,671.0,673.0,175.09781302711446,47.19327824446983,67.65988862093086
2006-01-01,1.7583333333333333,124.3659734708584,678000.0,446874.99999999994,476.0,697.0000000000001,192.41077870553679,42.27320985476353,64.13703223838807
2007-01-01,1.8874999999999997,129.52540800551645,636875.0,579624.75,409.0,294.0,207.61531975915256,46.43329800907548,51.01957200676808
2008-01-01,2.0124999999999997,126.41408158994795,605729.1666666667,519291.6666666666,281.99999999999994,165.0,219.23917218256952,51.079755794761816,59.58211906173073
2009-01-01,1.5958333333333334,98.12411489521789,482565.4166666666,327375.0,274.0,149.0,222.2802246246093,70.52087272007893,103.95092578193771
2010-01-01,1.5666666666666669,30.706082845924872,492750.00000000006,306666.6666666667,362.0,244.0,221.60853385774945,72.25399692130092,116.09725103142728
2011-01-01,1.3499999999999999,26.31212467649821,474250.0,233005.4166666667,362.00000000000006,291.0,226.2064646309713,88.4734999346979,180.07545894976175
2012-01-01,1.3083333333333333,34.45479616456106,474166.66666666674,283816.6666666667,422.0,321.0,232.1817886192656,101.49295606269185,169.5621939035518
2013-01-01,1.3416666666666666,35.01500846152095,519658.3333333333,299270.8333333334,449.0,355.0,243.93309827088325,91.4542255345006,158.8024796409585
2014-01-01,1.3083333333333331,39.26776024933381,547208.3333333333,326569.83333333326,467.00000000000006,330.0,260.251958225027,90.00415388180136,150.8131431982768
2015-01-01,1.5083333333333335,38.63059007982611,631145.833333333,358688.1666666666,489.0,366.0,273.635993603947,87.20514284527819,153.44571599203059
2016-01-01,1.725,49.697818997580825,628333.2500000001,399247.9166666667,565.0,378.0,278.6463265253973,92.01253720959677,144.808611722629
2017-01-01,1.8166666666666664,51.696846152519946,657463.5833333333,436708.3333333334,549.0,448.0,280.996367885624,95.5300038083269,143.82024299895716
2018-01-01,1.9,51.10743163881051,707874.9999999998,477069.8333333334,595.0,500.99999999999994,282.0513580465946,77.51313725361305,115.01379504552196
